omni_omni.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2016  5  6  9 49  0   0    5.99   -5.96   -4.96  -342.19    -6.15   -30.75     8.21     450419.0
 2016  5  6  9 50  0   0    6.56   -4.50   -5.39  -342.42    -4.76   -30.55     8.16     452819.3
 2016  5  6  9 51  0   0    6.40   -4.18   -5.46  -342.65    -3.36   -30.34     8.10     455219.6
 2016  5  6  9 52  0   0    6.72   -3.38   -5.74  -342.89    -1.97   -30.13     8.05     457619.8
 2016  5  6  9 53  0   0    6.66   -3.51   -5.77  -343.12    -0.57   -29.93     8.00     460020.1
 2016  5  6  9 54  0   0    6.35   -3.26   -5.92  -343.35     0.82   -29.72     7.95     462420.4
 2016  5  6  9 55  0   0    6.28   -3.14   -6.16  -343.58     2.22   -29.51     7.89     464820.6
 2016  5  6  9 56  0   0    6.24   -2.59   -6.44  -343.82     3.61   -29.31     7.84     467220.9
 2016  5  6  9 57  0   0    6.11   -2.54   -6.62  -344.05     5.01   -29.10     7.79     469621.2
 2016  5  6  9 58  0   0    6.04   -2.63   -6.63  -344.00     8.34   -28.86     7.87     466404.7
 2016  5  6  9 59  0   0    5.87   -2.94   -6.57  -343.96    11.67   -28.62     7.95     463188.3
 2016  5  6 10  0  0   0    6.12   -2.74   -6.47  -343.91    15.00   -28.38     8.04     459971.9
 2016  5  6 10  1  0   0    6.12   -2.73   -6.27  -343.86    18.34   -28.14     8.12     456755.4
 2016  5  6 10  2  0   0    5.96   -2.81   -6.32  -343.82    21.67   -27.90     8.20     453539.0
 2016  5  6 10  3  0   0    6.27   -1.95   -5.99  -343.77    25.00   -27.66     8.28     450322.5
 2016  5  6 10  4  0   0    6.36   -0.97   -6.38  -343.73    28.33   -27.42     8.36     447106.1
 2016  5  6 10  5  0   0    6.38   -0.87   -6.42  -343.68    31.66   -27.18     8.45     443889.6
 2016  5  6 10  6  0   0    5.75    0.65   -6.55  -343.63    34.99   -26.94     8.53     440673.2
 2016  5  6 10  7  0   0    6.02   -0.92   -6.46  -345.34    29.02   -26.87     8.51     446216.1
 2016  5  6 10  8  0   0    6.08   -3.55   -5.76  -347.04    23.04   -26.79     8.49     451758.9
 2016  5  6 10  9  0   0    5.60   -5.90   -4.73  -348.74    17.06   -26.72     8.47     457301.8
 2016  5  6 10 10  0   0    4.38   -7.80   -3.26  -350.44    11.08   -26.65     8.46     462844.7
 2016  5  6 10 11  0   0    4.56   -7.58   -2.90  -352.15     5.10   -26.57     8.44     468387.5
 2016  5  6 10 12  0   0    4.26   -7.78   -1.99  -353.85    -0.88   -26.50     8.42     473930.4
 2016  5  6 10 13  0   0    4.52   -7.46   -2.68  -355.55    -6.85   -26.43     8.40     479473.3
 2016  5  6 10 14  0   0    4.62   -6.42   -3.38  -357.26   -12.83   -26.35     8.38     485016.1
 2016  5  6 10 15  0   0    4.57   -6.26   -2.82  -358.96   -18.81   -26.28     8.37     490559.0
 2016  5  6 10 16  0   0    4.36   -2.94   -4.01  -360.66   -24.79   -26.21     8.35     496101.9
 2016  5  6 10 17  0   0    5.01    1.43   -5.31  -363.48   -24.32   -25.29     8.19     507182.1
 2016  5  6 10 18  0   0    5.71   -0.22   -5.84  -366.29   -23.85   -24.38     8.04     518262.3
 2016  5  6 10 19  0   0    5.63   -2.09   -4.03  -369.10   -23.39   -23.47     7.88     529342.5
 2016  5  6 10 20  0   0    1.98   -4.34   -2.67  -371.92   -22.92   -22.56     7.73     540422.7
 2016  5  6 10 21  0   0   -1.86   -7.15    1.50  -374.73   -22.45   -21.64     7.57     551502.9
 2016  5  6 10 22  0   0   -1.78   -7.19    1.53  -377.54   -21.98   -20.73     7.42     562583.1
 2016  5  6 10 23  0   0   -1.87   -7.63    0.45  -380.35   -21.52   -19.82     7.26     573663.3
 2016  5  6 10 24  0   0   -1.54   -8.83    0.51  -383.17   -21.05   -18.91     7.11     584743.5
 2016  5  6 10 25  0   0   -1.86   -8.67   -0.05  -385.98   -20.58   -17.99     6.95     595823.7
 2016  5  6 10 26  0   0   -1.77   -7.95   -0.55  -386.47   -16.84   -17.79     7.15     591951.4
 2016  5  6 10 27  0   0   -1.93   -7.93   -0.49  -386.96   -13.10   -17.58     7.34     588079.2
 2016  5  6 10 28  0   0   -1.19   -7.56   -1.55  -387.45    -9.36   -17.37     7.54     584206.9
 2016  5  6 10 29  0   0   -0.80   -7.40   -2.93  -387.94    -5.62   -17.16     7.73     580334.6
 2016  5  6 10 30  0   0   -0.83   -7.46   -3.02  -388.43    -1.88   -16.96     7.93     576462.4
 2016  5  6 10 31  0   0   -0.61   -6.79   -4.69  -388.91     1.86   -16.75     8.13     572590.1
 2016  5  6 10 32  0   0   -0.67   -8.15   -2.88  -389.40     5.60   -16.54     8.32     568717.8
 2016  5  6 10 33  0   0   -0.62   -8.11   -2.94  -389.89     9.34   -16.33     8.52     564845.6
 2016  5  6 10 34  0   0   -0.54   -7.11   -3.75  -390.38    13.08   -16.12     8.71     560973.3
 2016  5  6 10 35  0   0    0.05   -7.44   -2.89  -390.09    11.07   -15.93     8.64     566156.7
 2016  5  6 10 36  0   0    0.05   -7.09   -3.95  -389.79     9.05   -15.73     8.56     571340.1
 2016  5  6 10 37  0   0   -0.89   -7.97   -3.52  -389.49     7.03   -15.53     8.48     576523.4
 2016  5  6 10 38  0   0   -0.16   -7.37   -4.25  -389.20     5.02   -15.34     8.40     581706.8
 2016  5  6 10 39  0   0   -1.10   -7.68   -2.12  -388.90     3.00   -15.14     8.32     586890.2
 2016  5  6 10 40  0   0   -0.84   -8.87   -0.75  -388.61     0.98   -14.95     8.24     592073.6
 2016  5  6 10 41  0   0   -0.57   -9.00   -0.78  -388.31    -1.03   -14.75     8.16     597256.9
 2016  5  6 10 42  0   0   -0.17   -8.92   -0.75  -388.02    -3.05   -14.55     8.09     602440.3
 2016  5  6 10 43  0   0   -0.87   -8.45    0.56  -387.72    -5.07   -14.36     8.01     607623.7
 2016  5  6 10 44  0   0   -0.30   -8.21   -0.63  -388.17    -3.28   -13.25     8.12     610122.1
 2016  5  6 10 45  0   0   -0.24   -8.05   -0.09  -388.62    -1.50   -12.15     8.24     612620.4
 2016  5  6 10 46  0   0   -0.04   -7.85   -0.95  -389.07     0.28   -11.04     8.36     615118.8
 2016  5  6 10 47  0   0    0.26   -8.00   -0.48  -389.52     2.07    -9.94     8.48     617617.2
 2016  5  6 10 48  0   0    0.47   -7.95    0.67  -389.97     3.85    -8.84     8.60     620115.5
