File created on 2022-11-02T10:49:43.236186
#COOR
GSM


#START
2021 12 03 01 17 00 000       -2.93      -0.92       2.24    -468.03       1.08      -4.65       2.92  166371.33
2021 12 03 01 18 00 000       -2.92      -0.91       2.28    -468.47       1.54      -2.82       2.90  171460.17
2021 12 03 01 19 00 000       -2.91      -0.90       2.33    -468.90       2.00      -1.00       2.88  176549.00
2021 12 03 01 20 00 000       -2.88      -0.91       2.35    -468.90       2.00      -1.00       2.88  176549.00
2021 12 03 01 21 00 000       -2.85      -0.92       2.37    -468.65       1.57      -0.86       2.88  176413.08
2021 12 03 01 22 00 000       -2.81      -0.92       2.29    -468.40       1.13      -0.73       2.88  176277.17
2021 12 03 01 23 00 000       -2.78      -0.92       2.20    -468.15       0.70      -0.60       2.88  176141.25
2021 12 03 01 24 00 000       -2.78      -0.92       2.20    -467.90       0.27      -0.47       2.89  176005.33
2021 12 03 01 25 00 000       -2.83      -0.91       2.19    -467.65      -0.17      -0.33       2.89  175869.42
2021 12 03 01 26 00 000       -2.87      -0.90       2.18    -467.40      -0.60      -0.20       2.89  175733.50
2021 12 03 01 27 00 000       -2.91      -0.89       2.15    -467.15      -1.03      -0.06       2.89  175597.58
2021 12 03 01 28 00 000       -2.94      -0.89       2.12    -466.90      -1.47       0.07       2.89  175461.67
2021 12 03 01 29 00 000       -2.97      -0.87       2.07    -466.65      -1.90       0.21       2.90  175325.75
2021 12 03 01 30 00 000       -3.00      -0.86       2.03    -466.40      -2.33       0.34       2.90  175189.83
2021 12 03 01 31 00 000       -3.03      -0.78       1.99    -466.15      -2.76       0.48       2.90  175053.92
2021 12 03 01 32 00 000       -3.06      -0.70       1.94    -465.90      -3.20       0.61       2.90  174918.00
2021 12 03 01 33 00 000       -3.06      -0.70       1.94    -465.90      -3.20       0.62       2.90  174918.00
2021 12 03 01 34 00 000       -3.15      -0.63       1.77    -465.90      -3.20       0.62       2.90  174918.00
2021 12 03 01 35 00 000       -3.23      -0.56       1.61    -466.10      -3.57       2.29       2.95  180972.33
2021 12 03 01 36 00 000       -3.18      -0.62       1.73    -466.30      -3.94       3.96       3.01  187026.67
2021 12 03 01 37 00 000       -3.12      -0.69       1.86    -466.50      -4.31       5.63       3.06  193081.00
2021 12 03 01 38 00 000       -3.02      -0.72       1.74    -466.70      -4.68       7.30       3.11  199135.33
2021 12 03 01 39 00 000       -2.92      -0.75       1.63    -466.90      -5.05       8.97       3.17  205189.67
2021 12 03 01 40 00 000       -2.71      -0.79       1.49    -467.10      -5.41      10.65       3.22  211244.00
2021 12 03 01 41 00 000       -2.84      -0.79       1.58    -467.10      -5.40      10.65       3.22  211244.00
2021 12 03 01 42 00 000       -2.72      -0.48       1.67    -467.10      -5.40      10.65       3.22  211244.00
2021 12 03 01 43 00 000       -2.77      -0.38       1.64    -465.60      -7.41      -0.63       3.35  174074.00
2021 12 03 01 44 00 000       -2.85      -0.51       1.74    -465.60      -7.41      -0.62       3.35  174074.00
2021 12 03 01 45 00 000       -2.86      -0.53       1.58    -465.63      -7.84      -0.55       3.41  174009.00
2021 12 03 01 46 00 000       -2.76      -0.91       1.85    -465.67      -8.27      -0.47       3.47  173944.00
2021 12 03 01 47 00 000       -2.79       0.33       1.51    -465.70      -8.71      -0.39       3.53  173879.00
2021 12 03 01 48 00 000       -2.67      -0.29       1.66    -465.70      -8.71      -0.39       3.53  173879.00
