omni_ideal.log GSM

#COORD
GSM

#DELAY
1800
yr mo dy hr mn sc ms bx by bz ux uy uz rho T
#START
 2024  5 13  3 18  0   0    1.41    3.63   -3.28   792.20    -1.60    18.90    11.08      83088.0
 2024  5 13  3 19  0   0   -0.84    2.10   -2.50   792.10    -5.30    19.30    11.25      78418.0
 2024  5 13  3 32  0   0   -0.59    1.55   -2.64   799.60   -11.60    16.60    12.74      85442.0
 2024  5 13  3 33  0   0   -0.59    1.55   -2.64   799.60   -11.60    16.60    12.74      85442.0
 2024  5 13  3 41  0   0    0.33    2.21   -2.69   793.70    -5.10     9.20    13.31      75559.0
 2024  5 13  3 42  0   0    0.31    3.83   -2.45   793.70    -5.10     9.20    13.31      75559.0
 2024  5 13  3 43  0   0   -0.09    2.73   -2.92   793.70    -5.10     9.20    13.31      75559.0
 2024  5 13  3 44  0   0   -0.86    2.09   -3.79   794.40    -7.10    25.80    12.94      82824.0
 2024  5 13  3 45  0   0   -0.22    2.52   -2.99   793.40    -5.10    24.40    12.65      80456.0
 2024  5 13  3 46  0   0    0.21    2.76   -2.78   787.20     6.30    16.20    11.01      66511.0
 2024  5 13  3 47  0   0    0.60    3.17   -3.08   785.70     9.10    14.20    10.61      63158.0
 2024  5 13  3 48  0   0    0.79    3.33   -2.69   794.80    -1.70     7.30    10.65      75859.0
 2024  5 13  3 49  0   0    0.14    3.02   -2.65   794.80    -1.70     7.30    10.65      75859.0
 2024  5 13  3 50  0   0    0.02    2.76   -1.91   779.50     3.60    12.30    10.11     101067.0
 2024  5 13  3 51  0   0    0.21    2.72   -2.15   779.40     3.60    12.30    10.10     101304.0
 2024  5 13  3 53  0   0   -0.23    3.03   -2.81   794.80    -5.20    13.80    13.21      78844.0
 2024  5 13  3 54  0   0    0.12    2.95   -2.70   794.80    -5.20    13.80    13.21      78844.0
 2024  5 13  3 55  0   0   -0.73    2.96   -3.08   796.70    -4.90     4.00     9.93      68237.0
 2024  5 13  3 56  0   0   -0.86    3.60   -3.09   786.20    -7.20    11.00    10.76      67379.0
 2024  5 13  3 57  0   0   -1.08    3.05   -3.18   779.70    -8.60    15.30    11.29      66887.0
 2024  5 13  3 59  0   0   -0.79    3.75   -2.92   781.30   -14.50    14.00    10.12      66605.0
 2024  5 13  4  0  0   0   -0.06    3.71   -3.24   784.00   -12.40    10.70    10.86      69197.0
 2024  5 13  4  1  0   0   -0.02    3.42   -3.36   785.00   -11.60     9.50    11.14      70162.0
 2024  5 13  4  2  0   0   -0.21    3.10   -3.20   790.10    -5.20    12.60    11.76      82601.0
 2024  5 13  4  3  0   0    0.06    3.39   -2.68   790.10    -5.20    12.60    11.76      82601.0
 2024  5 13  4  4  0   0    0.17    3.12   -3.32   794.00    -0.20    16.30    11.53      70680.0
 2024  5 13  4  5  0   0    1.41    3.63   -4.48   794.00    -0.20    16.30    11.53      70680.0
 2024  5 13  4  6  0   0    1.66    3.33   -4.91   794.00    -0.20    16.30    11.53      70680.0
 2024  5 13  4  7  0   0    2.24    3.20   -4.59   791.80    -5.00    16.60     9.69      65207.0
 2024  5 13  4  8  0   0    1.36    3.06   -4.31   791.80    -5.00    16.60     9.69      65207.0
 2024  5 13  4  9  0   0    1.39    2.97   -4.26   791.80    -5.00    16.60     9.69      65207.0
